q,section,module,label,answer,part,page
64,1,2,Reading and Writing,B,1,66
65,1,2,Reading and Writing,C,1,67
66,1,2,Reading and Writing,C,1,68
67,1,2,Reading and Writing,A,1,69
68,1,2,Reading and Writing,A,1,70
69,1,2,Reading and Writing,A,1,71
70,1,2,Reading and Writing,B,1,72
71,1,2,Reading and Writing,D,1,73
72,1,2,Reading and Writing,B,1,74
73,1,2,Reading and Writing,B,1,75
74,1,2,Reading and Writing,C,1,76
75,1,2,Reading and Writing,A,1,77
76,1,2,Reading and Writing,C,1,78
77,1,2,Reading and Writing,D,1,79
78,1,2,Reading and Writing,A,1,80
79,1,2,Reading and Writing,A,1,81
80,1,2,Reading and Writing,D,1,82
81,1,2,Reading and Writing,A,1,83
82,1,2,Reading and Writing,A,1,84
83,1,2,Reading and Writing,A,1,85
84,1,2,Reading and Writing,D,1,86
85,1,2,Reading and Writing,D,1,87
86,1,2,Reading and Writing,A,1,88
87,1,2,Reading and Writing,B,1,89
88,1,2,Reading and Writing,B,1,90
89,1,2,Reading and Writing,A,1,91
90,1,2,Reading and Writing,D,1,92
91,1,2,Reading and Writing,C,1,93
92,1,2,Reading and Writing,A,1,94
93,1,2,Reading and Writing,A,1,95
94,1,2,Reading and Writing,A,1,96
95,1,2,Reading and Writing,B,1,97
96,1,2,Reading and Writing,B,1,98
97,1,2,Reading and Writing,C,1,99
98,1,2,Reading and Writing,A,1,100
99,1,2,Reading and Writing,A,1,101
100,1,2,Reading and Writing,B,1,102
101,1,2,Reading and Writing,B,1,103
102,1,2,Reading and Writing,B,1,104
103,1,2,Reading and Writing,B,1,105
104,1,2,Reading and Writing,A,1,106
105,1,2,Reading and Writing,C,1,107
106,1,2,Reading and Writing,B,1,108
107,1,2,Reading and Writing,C,1,109
108,1,2,Reading and Writing,A,1,110
109,1,2,Reading and Writing,B,1,112
110,1,2,Reading and Writing,B,1,113
111,1,2,Reading and Writing,A,1,114
112,1,2,Reading and Writing,C,1,115
113,1,2,Reading and Writing,D,1,116
114,1,2,Reading and Writing,C,1,117
115,1,2,Reading and Writing,D,1,118
116,1,2,Reading and Writing,C,1,119
117,1,2,Reading and Writing,C,1,120
118,1,2,Reading and Writing,B,1,121
119,1,2,Reading and Writing,B,1,122
120,1,2,Reading and Writing,D,1,123
121,1,2,Reading and Writing,D,1,124
122,1,2,Reading and Writing,D,1,125
123,1,2,Reading and Writing,D,1,126
124,1,2,Reading and Writing,D,1,127
125,1,2,Reading and Writing,B,1,128
126,1,2,Reading and Writing,C,1,129
127,1,2,Reading and Writing,A,1,130
128,1,2,Reading and Writing,B,1,131
129,1,2,Reading and Writing,B,1,132
130,1,2,Reading and Writing,C,1,133
131,1,2,Reading and Writing,B,1,134
132,1,2,Reading and Writing,C,1,135
133,1,2,Reading and Writing,B,1,136
134,1,2,Reading and Writing,B,1,137
135,1,2,Reading and Writing,A,1,138
136,1,2,Reading and Writing,D,1,139
137,1,2,Reading and Writing,C,1,140
138,1,2,Reading and Writing,D,1,141
139,1,2,Reading and Writing,B,1,142
140,1,2,Reading and Writing,A,1,143
141,1,2,Reading and Writing,B,1,144
142,1,2,Reading and Writing,C,1,145
143,1,2,Reading and Writing,A,1,146
144,1,2,Reading and Writing,D,1,147
145,1,2,Reading and Writing,B,1,148
146,1,2,Reading and Writing,B,1,149
147,1,2,Reading and Writing,B,1,150
148,1,2,Reading and Writing,A,1,151
149,1,2,Reading and Writing,D,1,152
150,1,2,Reading and Writing,D,1,153
151,1,2,Reading and Writing,D,1,154
152,1,2,Reading and Writing,A,1,155
153,1,2,Reading and Writing,A,1,156
154,1,2,Reading and Writing,C,1,157
155,1,2,Reading and Writing,D,1,158
156,2,1,Math,(grid-in: 2),1,160
157,2,1,Math,D,1,161
158,2,1,Math,A,1,162
159,2,1,Math,(grid-in: 154),1,163
160,2,1,Math,A,1,164
161,2,1,Math,A,1,165
162,2,1,Math,A,1,166
163,2,1,Math,B,1,167
164,2,1,Math,(grid-in: 9),1,168
165,2,1,Math,D,1,169
166,2,1,Math,C,1,170
167,2,1,Math,B,1,171
168,2,1,Math,D,1,172
169,2,1,Math,B,1,173
170,2,1,Math,D,1,174
171,2,1,Math,C,1,175
172,2,1,Math,(grid-in: 36),1,176
173,2,1,Math,B,1,177
174,2,1,Math,C,1,178
175,2,1,Math,(grid-in: 0.375),1,179
176,2,1,Math,C,1,180
177,2,1,Math,—,1,181
178,2,1,Math,D,1,182
179,2,1,Math,A,1,183
180,2,1,Math,(grid-in: 32),1,184
181,2,1,Math,A,1,185
182,2,1,Math,B,2,1
183,2,1,Math,(grid-in: 56760),2,2
184,2,1,Math,D,2,3
185,2,1,Math,D,2,4
186,2,1,Math,C,2,5
187,2,1,Math,B,2,6
188,2,1,Math,(grid-in: 567),2,7
189,2,1,Math,A,2,8
190,2,1,Math,C,2,9
191,2,1,Math,A,2,10
192,2,1,Math,(grid-in: 22),2,11
193,2,1,Math,D,2,12
194,2,1,Math,C,2,13
195,2,1,Math,C,2,14
196,2,1,Math,A,2,15
197,2,1,Math,(grid-in: 7),2,16
198,2,1,Math,D,2,17
199,2,1,Math,C,2,18
200,2,1,Math,(grid-in: 28),2,19
201,2,1,Math,B,2,20
202,2,1,Math,A,2,21
203,2,1,Math,(grid-in: 20),2,22
204,2,1,Math,C,2,23
205,2,1,Math,B,2,24
206,2,1,Math,B,2,25
207,2,1,Math,D,2,26
208,2,1,Math,D,2,27
209,2,1,Math,—,2,28
210,2,1,Math,D,2,29
211,2,1,Math,A,2,30
212,2,1,Math,D,2,31
213,2,1,Math,(grid-in: 75),2,32
214,2,1,Math,C,2,33
215,2,1,Math,(grid-in: 638),2,34
216,2,1,Math,D,2,35
217,2,1,Math,A,2,36
218,2,2,Math,B,2,38
219,2,2,Math,B,2,39
220,2,2,Math,C,2,40
221,2,2,Math,B,2,41
222,2,2,Math,B,2,42
223,2,2,Math,D,2,43
224,2,2,Math,B,2,44
225,2,2,Math,(grid-in: 20),2,45
226,2,2,Math,A,2,46
227,2,2,Math,A,2,47
228,2,2,Math,A,2,48
229,2,2,Math,D,2,49
230,2,2,Math,A,2,50
231,2,2,Math,(grid-in: 12),2,51
232,2,2,Math,(grid-in: 23),2,52
233,2,2,Math,(grid-in: 18),2,53
234,2,2,Math,(grid-in: 3),2,54
235,2,2,Math,A,2,55
236,2,2,Math,D,2,56
237,2,2,Math,A,2,57
238,2,2,Math,C,2,58
239,2,2,Math,(grid-in: 116),2,59
240,2,2,Math,(grid-in: 17),2,60
241,2,2,Math,B,2,61
242,2,2,Math,D,2,62
243,2,2,Math,B,2,63
244,2,2,Math,A,2,64
245,2,2,Math,C,2,65
246,2,2,Math,C,2,66
247,2,2,Math,A,2,67
248,2,2,Math,(grid-in: 84),2,68
249,2,2,Math,(grid-in: 5),2,69
250,2,2,Math,D,2,70
251,2,2,Math,(grid-in: 3),2,71
252,2,2,Math,A,2,72
253,2,2,Math,A,2,73
254,2,2,Math,B,2,74
255,2,2,Math,C,2,75
256,2,2,Math,C,2,76
257,2,2,Math,D,2,77
258,2,2,Math,B,2,78
259,2,2,Math,B,2,79
260,2,2,Math,C,2,80
261,2,2,Math,(grid-in: 81),2,81
262,2,2,Math,C,2,82
263,2,2,Math,B,2,83
264,2,2,Math,D,2,84
265,2,2,Math,A,2,85
266,2,2,Math,(grid-in: 17),2,86
267,2,2,Math,(grid-in: 2600),2,87
268,2,2,Math,A,2,88
269,2,2,Math,A,2,89
270,2,2,Math,A,2,90
271,2,2,Math,D,2,91
272,2,2,Math,(grid-in: 48),2,92
273,2,2,Math,(grid-in: -9.5),2,93
274,2,2,Math,B,2,94
275,2,2,Math,A,2,95
276,2,2,Math,C,2,96
277,2,2,Math,D,2,97
278,2,2,Math,B,2,98
279,2,2,Math,D,2,99
280,2,2,Math,A,2,100
281,2,2,Math,C,2,101
282,2,2,Math,(grid-in: 54),2,102
283,2,2,Math,D,2,103
284,2,2,Math,A,2,104
285,2,2,Math,B,2,105
286,2,2,Math,D,2,106
287,2,2,Math,(grid-in: 13),2,108
288,2,2,Math,B,2,109
289,2,2,Math,B,2,110
290,2,2,Math,(grid-in: 513),2,111
291,2,2,Math,C,2,112
292,2,2,Math,A,2,113
293,2,2,Math,A,2,114
294,2,2,Math,B,2,115
295,2,2,Math,(grid-in: -5),2,116
296,2,2,Math,D,2,117
297,2,2,Math,C,2,118
298,2,2,Math,A,2,119
299,2,2,Math,A,2,120
300,2,2,Math,C,2,121
301,2,2,Math,(grid-in: 3),2,122
302,2,2,Math,(grid-in: 29),2,123
303,2,2,Math,C,2,124
304,2,2,Math,D,2,125
305,2,2,Math,C,2,126
306,2,2,Math,D,2,127
307,2,2,Math,A,2,128
308,2,2,Math,(grid-in: 75),2,129
309,2,2,Math,C,2,130
310,2,2,Math,D,2,131
311,2,2,Math,(grid-in: 3/2),2,132
312,2,2,Math,D,2,133
313,2,2,Math,B,2,134
314,2,2,Math,(grid-in: 6),2,135
315,2,2,Math,C,2,136
316,2,2,Math,D,2,137
317,2,2,Math,C,2,138
318,2,2,Math,(grid-in: 84),2,139
319,2,2,Math,A,2,140
320,2,2,Math,D,2,141
321,2,2,Math,D,2,142
322,2,2,Math,B,2,143
323,2,2,Math,B,2,144
324,2,2,Math,D,2,145
325,2,2,Math,(grid-in: 1300),2,146
326,2,2,Math,(grid-in: -37/4),2,147
327,2,2,Math,A,2,148
328,2,2,Math,C,2,149
329,2,2,Math,D,2,150
330,2,2,Math,C,2,151
331,2,2,Math,D,2,152
332,2,2,Math,C,2,153
333,2,2,Math,A,2,154
334,2,2,Math,A,2,155
335,2,2,Math,(grid-in: 12),2,156
336,2,2,Math,C,2,157
337,2,2,Math,(grid-in: 44),2,158
338,2,2,Math,A,2,159
339,2,2,Math,D,2,160
340,2,2,Math,A,2,161
341,2,2,Math,C,2,162
342,2,2,Math,B,2,163
343,2,2,Math,C,2,164
344,2,2,Math,D,2,165
345,2,2,Math,(grid-in: 54),2,166
346,2,2,Math,A,2,167
347,2,2,Math,C,2,168
348,2,2,Math,D,2,169
349,2,2,Math,A,2,170
